target_interval_id,reference_interval_id,english_speaker_id,raw_distance,either_interval_qc_flag
AN19-rec-00079a5577d59a2dc124:phone:1,AN19-rec-0156d2df73ec1caa5616:phone:1,AN19.ENG.em1,2.844237476362517,True
AN19-rec-00079a5577d59a2dc124:phone:1,AN19-rec-11c793fc477390560836:phone:1,AN19.ENG.ef2,33.09094574432354,True
AN19-rec-00079a5577d59a2dc124:phone:1,AN19-rec-965239ff420477839ba5:phone:1,AN19.ENG.ef3,11.803657827234074,True
AN19-rec-00079a5577d59a2dc124:phone:2,AN19-rec-0156d2df73ec1caa5616:phone:2,AN19.ENG.em1,22.910001804280782,True
AN19-rec-00079a5577d59a2dc124:phone:2,AN19-rec-11c793fc477390560836:phone:2,AN19.ENG.ef2,17.76486600316832,True
AN19-rec-00079a5577d59a2dc124:phone:2,AN19-rec-4bb293667ada582f6652:phone:2,AN19.ENG.ef1,19.97953873076129,True
AN19-rec-00079a5577d59a2dc124:phone:2,AN19-rec-79f4270fd4f61e082aeb:phone:2,AN19.ENG.em3,32.80642209279059,True
AN19-rec-00079a5577d59a2dc124:phone:2,AN19-rec-965239ff420477839ba5:phone:2,AN19.ENG.ef3,23.405247064237496,True
AN19-rec-00079a5577d59a2dc124:phone:2,AN19-rec-aed6fc3c008b3b3d9b34:phone:2,AN19.ENG.em2,47.147709808728564,True
AN19-rec-00079a5577d59a2dc124:phone:3,AN19-rec-0156d2df73ec1caa5616:phone:3,AN19.ENG.em1,20.952840464292727,True
AN19-rec-00079a5577d59a2dc124:phone:3,AN19-rec-11c793fc477390560836:phone:3,AN19.ENG.ef2,29.430346678191825,False
AN19-rec-00079a5577d59a2dc124:phone:3,AN19-rec-4bb293667ada582f6652:phone:3,AN19.ENG.ef1,10.901269946686599,True
AN19-rec-00079a5577d59a2dc124:phone:3,AN19-rec-79f4270fd4f61e082aeb:phone:3,AN19.ENG.em3,34.80309935346019,True
AN19-rec-002747096d898f7ade1e:phone:1,AN19-rec-726b21cb6c18cb695640:phone:1,AN19.ENG.ef3,60.651981584916385,True
AN19-rec-002747096d898f7ade1e:phone:1,AN19-rec-7965b89732242dd4b45c:phone:1,AN19.ENG.ef1,19.09517087194648,True
AN19-rec-002747096d898f7ade1e:phone:1,AN19-rec-c7a97c6af9a5ff370b44:phone:1,AN19.ENG.em1,31.65035641394583,True
AN19-rec-002747096d898f7ade1e:phone:3,AN19-rec-3377ae30dff11b2f634b:phone:3,AN19.ENG.em3,10.3048450441152,True
AN19-rec-002747096d898f7ade1e:phone:3,AN19-rec-726b21cb6c18cb695640:phone:3,AN19.ENG.ef3,37.65207139071243,True
AN19-rec-002747096d898f7ade1e:phone:3,AN19-rec-7448d9bb6380e341e2ea:phone:3,AN19.ENG.em2,63.185890430515116,True
AN19-rec-002747096d898f7ade1e:phone:3,AN19-rec-7965b89732242dd4b45c:phone:3,AN19.ENG.ef1,25.265161625375736,True
AN19-rec-002747096d898f7ade1e:phone:3,AN19-rec-c7a97c6af9a5ff370b44:phone:3,AN19.ENG.em1,12.553874669836496,True
AN19-rec-002747096d898f7ade1e:phone:3,AN19-rec-e332ea78189206760c8d:phone:3,AN19.ENG.ef2,33.21074440115175,True
AN19-rec-00301de6d7ad00a41cc5:phone:1,AN19-rec-063c64cbd6096463a454:phone:1,AN19.ENG.ef3,53.8728989800212,True
AN19-rec-00301de6d7ad00a41cc5:phone:1,AN19-rec-268bbb56eaabb15fa767:phone:1,AN19.ENG.ef1,35.4598573498181,True
AN19-rec-00301de6d7ad00a41cc5:phone:1,AN19-rec-356e6ad3f927b5489ed7:phone:1,AN19.ENG.ef2,36.64649616399284,True
AN19-rec-00301de6d7ad00a41cc5:phone:1,AN19-rec-438bd9dc8ab284518a36:phone:1,AN19.ENG.em1,21.45373624310406,True
AN19-rec-00301de6d7ad00a41cc5:phone:1,AN19-rec-900f29221021063d828b:phone:1,AN19.ENG.em2,25.497306853108572,True
AN19-rec-00301de6d7ad00a41cc5:phone:1,AN19-rec-9239d26c4d850ab98cba:phone:1,AN19.ENG.em3,57.5592632362148,True
AN19-rec-00301de6d7ad00a41cc5:phone:3,AN19-rec-063c64cbd6096463a454:phone:3,AN19.ENG.ef3,29.91216311108014,True
AN19-rec-00301de6d7ad00a41cc5:phone:3,AN19-rec-268bbb56eaabb15fa767:phone:3,AN19.ENG.ef1,38.254444286019286,True
AN19-rec-00301de6d7ad00a41cc5:phone:3,AN19-rec-356e6ad3f927b5489ed7:phone:3,AN19.ENG.ef2,36.98086165519022,True
AN19-rec-00301de6d7ad00a41cc5:phone:3,AN19-rec-438bd9dc8ab284518a36:phone:3,AN19.ENG.em1,34.527699459169106,True
AN19-rec-00301de6d7ad00a41cc5:phone:3,AN19-rec-900f29221021063d828b:phone:3,AN19.ENG.em2,37.869649415867414,True
AN19-rec-00301de6d7ad00a41cc5:phone:3,AN19-rec-9239d26c4d850ab98cba:phone:3,AN19.ENG.em3,38.605326488389395,True
AN19-rec-003f828cad6d1e4a7c19:phone:1,AN19-rec-0fd8d3860e0c00adb22c:phone:1,AN19.ENG.ef2,79.37276990538032,True
AN19-rec-003f828cad6d1e4a7c19:phone:1,AN19-rec-94bf9c01be83f4c395b8:phone:1,AN19.ENG.em3,67.16131724476547,True
AN19-rec-003f828cad6d1e4a7c19:phone:1,AN19-rec-a297b99ead47f1b0506e:phone:1,AN19.ENG.em2,32.64133560695686,True
AN19-rec-003f828cad6d1e4a7c19:phone:1,AN19-rec-f181f37c0484afefeb22:phone:1,AN19.ENG.ef3,70.4521632401241,True
AN19-rec-003f828cad6d1e4a7c19:phone:2,AN19-rec-0fd8d3860e0c00adb22c:phone:2,AN19.ENG.ef2,36.387205054069945,False
AN19-rec-003f828cad6d1e4a7c19:phone:2,AN19-rec-60878c5dbf97be053ffb:phone:2,AN19.ENG.ef1,39.52235990630067,False
AN19-rec-003f828cad6d1e4a7c19:phone:2,AN19-rec-94bf9c01be83f4c395b8:phone:2,AN19.ENG.em3,40.22296850936512,True
AN19-rec-003f828cad6d1e4a7c19:phone:2,AN19-rec-a297b99ead47f1b0506e:phone:2,AN19.ENG.em2,18.75690430460352,False
AN19-rec-003f828cad6d1e4a7c19:phone:2,AN19-rec-aed941b82e2159693593:phone:2,AN19.ENG.em1,41.04321118060921,True
AN19-rec-003f828cad6d1e4a7c19:phone:2,AN19-rec-f181f37c0484afefeb22:phone:2,AN19.ENG.ef3,25.561980280508838,False
AN19-rec-003f828cad6d1e4a7c19:phone:3,AN19-rec-0fd8d3860e0c00adb22c:phone:3,AN19.ENG.ef2,16.857763522064186,True
AN19-rec-003f828cad6d1e4a7c19:phone:3,AN19-rec-60878c5dbf97be053ffb:phone:3,AN19.ENG.ef1,55.406768364040744,True
AN19-rec-003f828cad6d1e4a7c19:phone:3,AN19-rec-94bf9c01be83f4c395b8:phone:3,AN19.ENG.em3,25.310909442593395,True
AN19-rec-003f828cad6d1e4a7c19:phone:3,AN19-rec-a297b99ead47f1b0506e:phone:3,AN19.ENG.em2,22.32285695337616,True
AN19-rec-003f828cad6d1e4a7c19:phone:3,AN19-rec-f181f37c0484afefeb22:phone:3,AN19.ENG.ef3,16.264883102063635,True
AN19-rec-0050eb4714232f054ed9:phone:1,AN19-rec-262b9521fd915e06e9f2:phone:1,AN19.ENG.em3,2.0894697911184155,True
AN19-rec-0050eb4714232f054ed9:phone:1,AN19-rec-757237bbf812b30d9d3e:phone:1,AN19.ENG.em2,9.039077205126974,False
AN19-rec-0050eb4714232f054ed9:phone:1,AN19-rec-8ae6aba7d9893aa6607f:phone:1,AN19.ENG.ef1,3.1642289518442794,False
AN19-rec-0050eb4714232f054ed9:phone:1,AN19-rec-a57801690ac6fb89c729:phone:1,AN19.ENG.ef3,12.658302836170305,False
AN19-rec-0050eb4714232f054ed9:phone:1,AN19-rec-b6fd533cb6d4f2e1fbe1:phone:1,AN19.ENG.em1,39.72822298071201,False
AN19-rec-0050eb4714232f054ed9:phone:1,AN19-rec-fba1e481514bcd2f5c1d:phone:1,AN19.ENG.ef2,4.894048221756283,False
AN19-rec-0050eb4714232f054ed9:phone:2,AN19-rec-262b9521fd915e06e9f2:phone:2,AN19.ENG.em3,18.55555217437862,True
AN19-rec-0050eb4714232f054ed9:phone:2,AN19-rec-757237bbf812b30d9d3e:phone:2,AN19.ENG.em2,22.75589977612524,True
AN19-rec-0050eb4714232f054ed9:phone:2,AN19-rec-8ae6aba7d9893aa6607f:phone:2,AN19.ENG.ef1,8.457867884004752,True
AN19-rec-0050eb4714232f054ed9:phone:2,AN19-rec-a57801690ac6fb89c729:phone:2,AN19.ENG.ef3,39.31194665867874,True
AN19-rec-0050eb4714232f054ed9:phone:2,AN19-rec-b6fd533cb6d4f2e1fbe1:phone:2,AN19.ENG.em1,24.074640868649468,True
