talker_id,AN19.ENG.ef1,AN19.ENG.ef2,AN19.ENG.ef3,AN19.ENG.em1,AN19.ENG.em2,AN19.ENG.em3,AN19.SPA.sf1,AN19.SPA.sf2,AN19.SPA.sf3,AN19.SPA.sf4,AN19.SPA.sf5,AN19.SPA.sf6,AN19.SPA.sm2,AN19.SPA.sm3,AN19.SPA.sm4,AN19.SPA.sm5,AN19.SPA.sm6,AN19.SPA.sm7,AN19.KOR.kf1,AN19.KOR.kf2,AN19.KOR.kf3,AN19.KOR.kf4,AN19.KOR.kf5,AN19.KOR.kf6,AN19.KOR.km1,AN19.KOR.km2,AN19.KOR.km3,AN19.KOR.km6,AN19.KOR.km7,AN19.KOR.km8,AN19.MIX.if5,AN19.MIX.if3,AN19.MIX.im1,AN19.MIX.if2,AN19.MIX.im3,AN19.MIX.im2,AN19.MIX.if6,AN19.MIX.if4,AN19.MIX.if1,AN19.MIX.im4,AN19.MIX.im5,AN19.MIX.im6
AN19.ENG.ef1,1.0,0.03939344436523552,0.004990953227539348,0.024079323281436128,0.02035144126600927,0.0210458328454958,0.003597900833803305,0.013259492069466732,0.019793890999674216,0.006119985267476046,0.013145977633227723,0.01053099545951985,0.00655007957090332,0.0158693259435634,0.014523264235367775,0.019958067805685153,0.011985486344499835,0.011337048201194183,0.011199723660369578,0.020621857667839704,0.017185003995040728,0.012881277960231988,0.01789445911858902,0.013262914242792261,0.008650023335924874,0.05955869570631573,0.009132762729762382,0.0038360207323158016,0.011911243159144312,0.014695817219938323,0.0015311639916635981,0.008378160172105867,0.015370167256771634,0.027508850272256392,0.02493394432027158,0.03670556713376762,0.02655246044050388,0.010018189693670465,0.011313243511704867,0.0040094713644946225,0.008264754576352505,0.006567633859424552
AN19.ENG.ef2,0.03939344436523552,1.0,0.043803336058273065,0.03658477812645549,0.043102850337587977,0.02886515351359977,0.0026872996106473714,0.0058782579289404615,0.009607179518699063,0.006650924377926463,0.018449725533267947,0.009210963891795829,0.011863686706527255,0.004608043093306274,0.007764370057855736,0.012529906060048066,0.005049577010482638,0.011141194208611151,0.006308784635483087,0.011382559067263594,0.008089956691803069,0.02165982030817098,0.01921829859744856,0.010248078506722191,0.004787777996548043,0.02110226363614212,0.018251454188651796,0.014548580657221718,0.019200090592531964,0.02955879209137803,0.0003140452768374771,0.004688520439673414,0.00852838696947652,0.017200280845883573,0.020840170969976674,0.019756386854952523,0.04254956124826527,0.025993894168489726,0.014612955164369626,0.011976122224141001,0.017902823212830054,0.009816778385119134
AN19.ENG.ef3,0.004990953227539348,0.043803336058273065,1.0,0.03067154549673337,0.024075374318656997,0.02406485774616621,0.007720764003312885,0.003940745439600427,0.003562093256879115,0.0026620941379125133,0.009579399658198998,0.005246429516358974,0.00773983025584802,0.0023062330732803423,0.007017171320820312,0.008534921751355394,0.0019947121444897956,0.008515914124969996,0.00411787488947382,0.008339874001948402,0.002285807762568283,0.008963691568996408,0.015607909761040406,0.005242849984213386,0.0020853821051928074,0.00848864817028565,0.018602947824139786,0.01172439160422818,0.019499413047270032,0.015656543611693684,5.724332903750273e-06,0.002794540403215226,0.004050895405061151,0.0049810998153726116,0.006949277933704699,0.004774853714828787,0.01637297378993421,0.01845970471408843,0.01066409586783577,0.00776862140529164,0.021752973955383646,0.006685948933698045
AN19.ENG.em1,0.024079323281436128,0.03658477812645549,0.03067154549673337,1.0,0.033113916005693356,0.0344977430132478,0.004189277907957121,0.008294627362690524,0.010473504564612842,0.007320563114740175,0.016496951736174565,0.009822407769958795,0.013434566936552773,0.005553789810348296,0.008306169829789588,0.014239983509373418,0.004900722474204669,0.012875987245668545,0.012241649231419637,0.0101763603179807,0.01178879609258612,0.017778296578884634,0.025917055233758073,0.008998446317135478,0.00957635475414053,0.024663174179378723,0.010216579214783245,0.012133677079510923,0.02984076832526822,0.025355203286990924,0.00014347833077876335,0.0034190843166874395,0.014256622033887143,0.018417013875821286,0.01774822567249703,0.015724062347944014,0.03873871120958479,0.027799314447701458,0.010917166086536683,0.008325064428056061,0.02251992446186325,0.013001977610231611
AN19.ENG.em2,0.02035144126600927,0.043102850337587977,0.024075374318656997,0.033113916005693356,1.0,0.0367949111913559,0.0035010855903300523,0.007197599407714781,0.008566382570542753,0.0026160584056288422,0.025837913769988126,0.01009203354055611,0.010248341311369116,0.005719348601377168,0.010314169051931252,0.015238226420134282,0.006116823723678113,0.01901282380324844,0.007253792266000835,0.009197667529495733,0.010520395442674928,0.009333395887474052,0.022248705175956007,0.013021996307958557,0.01022226197397814,0.018707355901054146,0.016108148703737116,0.013076117778357425,0.017693686757593752,0.015592503574946738,0.00042727309640141077,0.0026961969565660986,0.008187669610348376,0.02203631408527743,0.03447525241876881,0.02142049308833321,0.03953502504057878,0.022946785471591995,0.013202210496525724,0.020880192741989143,0.01733361562132308,0.01569253496965705
AN19.ENG.em3,0.0210458328454958,0.02886515351359977,0.02406485774616621,0.0344977430132478,0.0367949111913559,1.0,0.006124311403116716,0.0052633226604553475,0.007402261300007941,0.0035918422048513655,0.014992783806555474,0.00767423575768411,0.012124806330757841,0.002022643263322498,0.010336299740852107,0.009177543551011233,0.003420448698555465,0.013094067620438908,0.007169657092327883,0.009263206030236695,0.007037140379265768,0.00686701474480345,0.017121437787832604,0.006797723746376419,0.0036246409982769122,0.013793746641603499,0.012680361136559367,0.011847292921786082,0.01706503636147336,0.014352686511355609,0.00022165193381838458,0.0036534802325677955,0.006488473871658269,0.011921542631059986,0.019648376519242946,0.01254659621462465,0.030605711927816835,0.0230984489835251,0.010598663592254398,0.009086238717667445,0.01128488009764691,0.010193012183921893
AN19.SPA.sf1,0.003597900833803305,0.0026872996106473714,0.007720764003312885,0.004189277907957121,0.0035010855903300523,0.006124311403116716,1.0,0.008792338956972127,0.0056730862418879185,0.01004147023383902,0.005167719410000294,0.01065907518450693,0.006126531314192483,0.0031636470830698794,0.013851793686938025,0.0052688487919086,0.006381690296026606,0.008208059319189718,0.0029666109717833887,0.005313081833692142,0.004475732381056814,0.002793797789032666,0.004940591904683124,0.004167567506664182,0.0025724358512666558,0.0041985931990890955,0.003851976273011948,0.0052649548348012,0.010424755176125735,0.00748867169867195,5.928725540420986e-05,0.0050747962013265036,0.003698789648228056,0.007321907164075974,0.006585284097986408,0.006011152538430729,0.005034650089422838,0.004294439251263998,0.008413137549591505,0.0054247544455681,0.004450202696978221,0.006397357633367244
AN19.SPA.sf2,0.013259492069466732,0.0058782579289404615,0.003940745439600427,0.008294627362690524,0.007197599407714781,0.0052633226604553475,0.008792338956972127,1.0,0.018926613288857586,0.008592664142504137,0.014715256513627246,0.013218749075716085,0.00918319804661118,0.010630567214453135,0.010892215469087179,0.011979269492624768,0.016455911357015032,0.010180208659675732,0.007612957627450531,0.007165633912893999,0.011510042670912308,0.008435998215877758,0.007959603086691313,0.009112292062593596,0.004290611966593352,0.015343045677288319,0.006178327873729678,0.0071580960839670036,0.012010117708379116,0.007220000856166042,0.0005311615899071215,0.003932195419428604,0.011062520105454632,0.016515477339289455,0.007868635856281916,0.007359352789632708,0.007661546737539678,0.008548505263176966,0.009244976058024367,0.003264682570397283,0.005083197214464045,0.006128330714312154
AN19.SPA.sf3,0.019793890999674216,0.009607179518699063,0.003562093256879115,0.010473504564612842,0.008566382570542753,0.007402261300007941,0.0056730862418879185,0.018926613288857586,1.0,0.010998032463054691,0.009249628744486926,0.017442724480462267,0.010160666132700268,0.014454426028238076,0.010413366751978136,0.023336057710396735,0.01809673176760443,0.013431811664809445,0.008179867489174115,0.012350613403438312,0.010823801083041951,0.00658898632946108,0.008949313429282395,0.011751588461839423,0.00413491482767569,0.023222770323328062,0.004380180965249887,0.007923031018635063,0.008632923841683059,0.007744304701500857,0.00045930294352811705,0.00532857502569973,0.012210486405105877,0.016954330118143308,0.013516271379002562,0.006816112405547077,0.01086572419908487,0.0067703476994404365,0.01652230817626395,0.0033139622432513624,0.006484421108164154,0.011502593744742102
AN19.SPA.sf4,0.006119985267476046,0.006650924377926463,0.0026620941379125133,0.007320563114740175,0.0026160584056288422,0.0035918422048513655,0.01004147023383902,0.008592664142504137,0.010998032463054691,1.0,0.006182083390500387,0.004078172677800857,0.0019948407481870673,0.008542039523631039,0.0016163387592462598,0.004693438444625571,0.01331803528936445,0.004693301111573096,0.004558009178348478,0.0030720041716499973,0.005232893675286182,0.004171502387420337,0.0049687395497318,0.01094770362976896,0.002390962924569146,0.006557767232552269,0.00290054253401993,0.0015825470057772343,0.005287990712500054,0.0046948814775745204,0.0001533118633401665,0.0029277733259974424,0.004736958153583904,0.004700450886793435,0.0050995801035187876,0.0023674563364411674,0.0030496627942928197,0.008560506914492366,0.012097903029382458,0.002233040353327167,0.0026663067240949765,0.0045891943756613375
